,Unnamed: 0,Unnamed: 0.1,Hotel Name,Review,Review_Lemma,Keyword,Sentiment,User Contribution,Recency,joy,sadness,fear,disgust,anger,MHRs,Index,abs_Sentiment,new_MHR,Normalized_User_Contribution,Recency_new,Score,Bucket
286,70,80,Angsana Oasis Spa & Resort,"Overall, it was not an experience that one would like to remember - quite forgettable and definitely not worth the ridiculous amount they charge under the guise of a high end resort","overall , it be not an experience that one would like to remember - quite forgettable and definitely not worth the ridiculous amount they charge under the guise of a high end resort",guise of a high end resort,-0.995551,225,Jun-18,0.070867,0.380316,0.047975,0.191319,0.55134,0.109378823,70,0.995551,0.109378823,0.084269663,410 days 00:00:00.000000000,3.391984056,ambience
287,68,77,Angsana Oasis Spa & Resort,Its close to all the important places and still far away from the noises and bustling speed of the city.,its close to all the important place and still far away from the noise and bustle speed of the city .,noise,-0.778669,1,Sep-18,0.026259,0.563618,0.428881,0.071297,0.170873,0.107375282,68,0.778669,0.107375282,0.000374532,318 days 00:00:00.000000000,2.987028122,ambience
288,71,81,Angsana Oasis Spa & Resort,Strictly average ambiance made worse by the aging infrastructure.,strictly average ambiance make bad by the age infrastructure .,average ambiance,-0.833051,11,Jan-17,0.022511,0.430752,0.38586,0.072335,0.138719,0.116918633,71,0.833051,0.116918633,0.00411985,926 days 00:00:00.000000000,2.436127967,ambience
289,63,71,Angsana Oasis Spa & Resort,"This is the typical resort that has long past the time of its grandeur, has been painfully underinvested in, and is slowly dying.","this be the typical resort that have long past the time of its grandeur , have be painfully underinvested in , and be slowly die .",typical resort,-0.911252,12,Jul-19,0.112817,0.64879,0.096406,0.192757,0.042188,0.10862827,63,0.911252,0.10862827,0.004494382,15 days 00:00:00.000000000,2.425475563,ambience
290,66,74,Angsana Oasis Spa & Resort,However the ambience has been completely spoilt over the years due to the corporate events which seem to be the main priority now.,however the ambience have be completely spoilt over the year due to the corporate event which seem to be the main priority now .,ambience,-0.614918,2,Dec-18,0.058113,0.692076,0.048804,0.087354,0.050347,0.11022255,66,0.614918,0.11022255,0.000749064,227 days 00:00:00.000000000,2.18042415,ambience
291,64,72,Angsana Oasis Spa & Resort,Off course - this resort exploits its proximity of location and the huge demand of IT / Industries in and around Bangalore for an outside location venue their meeting & training needs and couldnt care less to maintain as business comes automatically and most times overbooked.,off course - this resort exploit its proximity of location and the huge demand of IT / Industries in and around Bangalore for an outside location venue their meeting & training need and could nt care less to maintain as busines come automatically and most time overbooke .,proximity of location,-0.660547,15,Feb-19,0.079415,0.248832,0.020464,0.102112,0.284751,0.109063285,64,0.660547,0.109063285,0.005617978,165 days 00:00:00.000000000,1.990794377,ambience
292,67,75,Angsana Oasis Spa & Resort,The noise emanating from these during the day and at night spoil the tranquillity of the place and at times intrude on the spa also.,the noise emanate from these during the day and at night spoil the tranquillity of the place and at time intrude on the spa also .,noise,-0.582426,2,Dec-18,0.449972,0.152684,0.338477,0.047879,0.108319,0.107859369,67,0.582426,0.107859369,0.000749064,227 days 00:00:00.000000000,1.771225787,ambience
293,65,73,Angsana Oasis Spa & Resort,Our own experience indicated that they weren't fully booked.,our own experience indicate that they be n't fully book .,own experience,-0.379156,173,May-19,0.057221,0.131997,0.199167,0.026175,0.073377,0.117897363,65,0.379156,0.117897363,0.064794007,76 days 00:00:00.000000000,1.483777054,ambience
294,69,79,Angsana Oasis Spa & Resort,"Sadly, it's no longer the best resort in Bangalore.","sadly , it ' no longer the good resort in Bangalore .",good resort,-0.955753,217,Aug-17,0.565703,0.229956,0.021483,0.051352,0.117618,0.112656425,69,0.955753,0.112656425,0.081273408,714 days 00:00:00.000000000,1.392084002,ambience
1204,310,337,Angsana Oasis Spa & Resort,"Everthing here is old, when not broken altogether (AC remote not working, wifi not working, room phone half broken...)","everthe here be old , when not break altogether ( AC remote not work , wifi not work , room phone half broken ... )",room phone,-0.944533,12,Jul-19,0.005478,0.404747,0.430195,0.175635,0.369593,0.022069986,310,0.944533,0.085217634,0.004376368,15 days 00:00:00.000000000,3.505881262,amenities
1205,341,369,Angsana Oasis Spa & Resort,"The room still stinks.
","the room still stink . 
",room,-0.879685,4,Jan-18,0.008846,0.181424,0.264185,0.633277,0.282624,0.022230858,341,0.879685,0.0858388,0.001458789,561 days 00:00:00.000000000,3.259072872,amenities
1206,338,366,Angsana Oasis Spa & Resort,"The rooms we were given were facing the back wall and was not what we were looking for , these are the worst rooms on the property I think.","the room we be give be face the back wall and be not what we be look for , these be the bad room on the property i think .",room,-0.637865,28,May-18,0.026873,0.381714,0.359008,0.335989,0.254082,0.021044735,338,0.637865,0.08125889,0.010211524,441 days 00:00:00.000000000,3.203360449,amenities
1207,329,356,Angsana Oasis Spa & Resort,"the room was very bad and untidy and the curtains were badly torn and the bath tub wasnt working !!
","the room be very bad and untidy and the curtain be badly tear and the bath tub be nt work ! ! 
",room,-0.950615,1,Apr-19,0.006131,0.838642,0.144602,0.135065,0.1354,0.044782346,329,0.950615,0.172915632,0.000364697,106 days 00:00:00.000000000,3.166484491,amenities
1208,327,354,Angsana Oasis Spa & Resort,"Overall I would struggle to identify any positive reasons to stay here, and the fact that two rooms at the far superior Taj Bangalore at the airport cost less than a two-bed suite here just adds insult to injury.","overall i would struggle to identify any positive reason to stay here , and the fact that two room at the far superior Taj Bangalore at the airport cost less than a two - bed suite here just add insult to injury .",room,-0.724079,13,Apr-19,0.088301,0.29954,0.1517,0.242952,0.459121,0.021946192,327,0.724079,0.084739634,0.004741065,106 days 00:00:00.000000000,3.12181423,amenities
1209,323,350,Angsana Oasis Spa & Resort,"Great hospitality from the staff, particularly Varun who insisted on dropping us with our bags to the car park - we did not have much luggage.","Great hospitality from the staff , particularly Varun who insist on drop us with our bag to the car park - we do not have much luggage .",car park,-0.692876,2,Dec-18,0.033045,0.155729,0.118787,0.400574,0.450753,0.021809444,323,0.692876,0.084211618,0.000729395,227 days 00:00:00.000000000,3.023292947,amenities
1210,313,340,Angsana Oasis Spa & Resort,"Pool was so dirty full of dead flies, bugs and ants every where on Sunday Morning.","Pool be so dirty full of dead fly , bug and ant every where on Sunday Morning .",Pool,-0.940614,1,May-19,0.011653,0.301667,0.163828,0.739878,0.078449,0.022214205,313,0.940614,0.085774501,0.000364697,76 days 00:00:00.000000000,3.00195671,amenities
1211,320,347,Angsana Oasis Spa & Resort,"The pool was grubby and full of dead insects, leaves etc, to the point that even the kids were reluctant to get in the pool.","the pool be grubby and full of dead insect , leave etc , to the point that even the kid be reluctant to get in the pool .",pool,-0.782974,13,Apr-19,0.112673,0.386663,0.155526,0.44571,0.214767,0.020950973,320,0.782974,0.080896849,0.004741065,106 days 00:00:00.000000000,2.968480659,amenities
1212,351,379,Angsana Oasis Spa & Resort,It took me 1.5 hours just to have a menu card delivered to my room,it take me 1.5 hour just to have a menu card deliver to my room,room,-0.664459,945,Apr-17,0.105928,0.342588,0.108778,0.030645,0.362262,0.022166925,351,0.664459,0.08559194,0.34463895,836 days 00:00:00.000000000,2.930708225,amenities
1213,354,382,Angsana Oasis Spa & Resort,Sower fittings and the intercom and door lock weren't working in my villa room.,Sower fitting and the intercom and door lock be n't work in my villa room .,villa room,-0.662136,2,Feb-17,0.02596,0.52366,0.397326,0.082333,0.219324,0.021724154,354,0.662136,0.083882291,0.000729395,895 days 00:00:00.000000000,2.840528836,amenities
1214,324,351,Angsana Oasis Spa & Resort,The dinning area is poor both in terms of food and service.,the dinning area be poor both in term of food and service .,dinning area,-0.691362,308,Dec-18,0.009484,0.696528,0.108222,0.233614,0.053254,0.021908278,324,0.691362,0.08459324,0.112326769,227 days 00:00:00.000000000,2.781301939,amenities
1215,346,374,Angsana Oasis Spa & Resort,Had requested iron (which is not there as room amenity) and it never turned up till end of day despite repeated follow ups.,have request iron ( which be not there as room amenity ) and it never turn up till end of day despite repeat follow up .,room amenity,-0.456811,571,Jul-17,0.138182,0.097545,0.308892,0.214054,0.275549,0.021976615,346,0.456811,0.084857105,0.208242159,745 days 00:00:00.000000000,2.692920401,amenities
1216,312,339,Angsana Oasis Spa & Resort,their food and Service was excellent little concern we had rooms and linen was little dirty and old rest,their food and Service be excellent little concern we have room and linen be little dirty and old rest,room,-0.328964,1,Jun-19,0.064954,0.262545,0.087579,0.720311,0.063761,0.021564583,312,0.328964,0.08326615,0.000364697,45 days 00:00:00.000000000,2.689695472,amenities
1217,314,341,Angsana Oasis Spa & Resort,but if it gets little busy then it might be difficult to get you a parking space.,but if it get little busy then it may be difficult to get you a parking space .,parking space,-0.605461,4,Mar-19,0.047055,0.623832,0.239112,0.031006,0.175648,0.02247451,314,0.605461,0.086779599,0.001458789,137 days 00:00:00.000000000,2.661731144,amenities
1218,328,355,Angsana Oasis Spa & Resort,TV in our room didn't work well and there was banding problem - top 1/3rd of the screen was messed up completely.,TV in our room do n't work well and there be band problem - top 1/3rd of the screen be mess up completely .,room,-0.975032,173,May-19,0.025819,0.842713,0.154162,0.024462,0.04031,0.021597881,328,0.975032,0.08339472,0.063092633,76 days 00:00:00.000000000,2.640164019,amenities
1219,333,360,Angsana Oasis Spa & Resort,And expect random men to walk into your room without even knocking.,and expect random man to walk into your room without even knock .,room,-0.594879,1,Oct-18,0.134081,0.519553,0.114576,0.12338,0.257687,0.022322256,333,0.594879,0.086191712,0.000364697,288 days 00:00:00.000000000,2.598988794,amenities
1220,342,370,Angsana Oasis Spa & Resort,"The rest, rooms included are to forget.
","the rest , room include be to forget . 
",room,-0.49711,101,Nov-17,0.013987,0.335215,0.337586,0.114112,0.228232,0.021837637,342,0.49711,0.084320477,0.036834427,622 days 00:00:00.000000000,2.566490556,amenities
1221,322,349,Angsana Oasis Spa & Resort,The common pool is poorly located at the entrance with no privacy.,the common pool be poorly locate at the entrance with no privacy .,common pool,-0.852694,109,Dec-18,0.048561,0.573969,0.198387,0.207596,0.060223,0.022005603,322,0.852694,0.084969036,0.039752006,227 days 00:00:00.000000000,2.540987005,amenities
