,Airline,Review,Review_Lemma,Keyword,Sentiment,User Contribution,Recency,joy,sadness,fear,disgust,anger,category,final,Area,Class,From,To
0,Air India,"Seats were warn, foot rests and walls with many scuff marks, toilets can be best described as having a lick and promise to clean.","seat be warn , foot rest and wall with many scuff mark , toilet can be best describe as have a lick and promise to clean .",seat,-0.395908,40,04-2019,0.018456,0.268472,0.13438599999999998,0.11290599999999999,0.556478,ambience,3.1110899279351605,International,Business Class,New Delhi,London
1,Air India,"The enetetertainment system as broken, the seat divider was flimsy and filthy.
","the enetetertainment system as break , the seat divider be flimsy and filthy . 
",seat divider,-0.9230879999999999,54,03-2018,0.016299,0.08519600000000001,0.006581999999999999,0.7487779999999999,0.242367,ambience,3.06241023715061,International,Business Class,New Delhi,Chicago
2,Air India,Seat to Delhi were a bit dirty but fine on our way back.,Seat to Delhi be a bit dirty but fine on our way back .,Seat,-0.850029,4,02-2019,0.026452,0.321386,0.036325,0.622761,0.04311,ambience,3.04570018644884,Asia,Economy,Singapore,New Delhi
3,Air India,After I had booked the flight I read several comments about how dirty the AI seats were and how poor the service was.,after i have book the flight i read several comment about how dirty the AI seat be and how poor the service be .,seat,-0.955533,83,03-2018,0.00561,0.42549499999999996,0.0754,0.654614,0.093671,ambience,2.90717685723161,International,Business Class,London,New Delhi
4,Air India,"The seat was so dirty that when the stewardess came around with the hot towels, I used it to was the complete headrest and arms.","the seat be so dirty that when the stewardes come around with the hot towel , i use it to be the complete headrest and arm .",seat,-0.7563310000000001,721,04-2019,0.062352,0.216996,0.08873099999999999,0.544313,0.125887,ambience,2.84792946859933,Southeast Asia,Business Class,New Delhi,Singapore
5,Air India,They sold it anyway and as soon as the person in front of me leaned back the seat back fell onto my tray table injuring my hand and spilling water.,they sell it anyway and as soon as the person in front of me lean back the seat back fall onto my tray table injure my hand and spill water .,seat,-0.78928,1,01-2019,0.025476,0.7338819999999999,0.202929,0.160365,0.10749600000000001,ambience,2.80874587874816,International,Economy,Chicago,New Delhi
6,Air India,The seat was uncomfortable.,the seat be uncomfortable .,seat,-0.860009,17046,04-2018,0.070726,0.19831700000000002,0.013165000000000001,0.092946,0.051807000000000006,ambience,2.7602605868510097,Domestic,Economy,Kolkata,Bengaluru
7,Air India,"I managed to sleep during most of the flight, even if my seat was the last one before the toilet, positioned next to the aisle, and therefore get kicked most of the times","i manage to sleep during most of the flight , even if my seat be the last one before the toilet , position next to the aisle , and therefore get kick most of the time",seat,-0.430497,1,08-2018,0.018722,0.408279,0.084815,0.623772,0.12801400000000002,ambience,2.69777182879776,International,Economy,New Delhi,Rome
8,Air India,"Interiors like electronics, dashboard, seats are in bad condition.","interior like electronic , dashboard , seat be in bad condition .",seat,-0.511997,25,11-2018,0.0031620000000000003,0.641896,0.12245,0.22039299999999998,0.194727,ambience,2.55708458339948,Domestic,Economy,New Delhi,Mumbai
9,Air India,someone in my raw tried to recline the seat and it broke...,someone in my raw try to recline the seat and it break ...,seat,-0.32083,95,03-2019,0.013578999999999999,0.49256300000000003,0.068268,0.549553,0.192779,ambience,2.5472893950405098,International,Economy,New York City,New Delhi
